,game,model,experiment,episode,metric,value
0,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Middle-Accuracy,0.4
1,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Accuracy,0.43333333333333335
2,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Kappa,0.0
3,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Truncated Kappa,0.0
4,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Slot-Filling-Accuracy,1.0
5,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Main Score,0.0
6,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Aborted,0.0
7,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Lose,1.0
8,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Success,0.0
9,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Request Count,35.0
10,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Parsed Request Count,35.0
11,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Violated Request Count,0.0
12,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_4,Request Success Ratio,1.0
13,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_3,Middle-Accuracy,0.6
14,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_3,Accuracy,0.5333333333333333
15,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_3,Kappa,0.06666666666666665
16,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_3,Truncated Kappa,0.06666666666666665
17,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_3,Slot-Filling-Accuracy,1.0
18,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_3,Main Score,12.499999999999996
19,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_3,Aborted,0.0
20,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_3,Lose,1.0
21,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_3,Success,0.0
22,privateshared,llama3.1-sft-e1-_E1_D70001-t0.0--llama3.1-sft-e1-_E1_D70001-t0.0,1_job-interview,episode_3,Request Count,35.0
