,game,model,experiment,episode,metric,value
0,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Aborted,0.0
1,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Lose,1.0
2,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Success,0.0
3,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Request Count,11.0
4,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Parsed Request Count,11.0
5,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Violated Request Count,0.0
6,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Request Success Ratio,1.0
7,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Main Score,0.0
8,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,repeats guess,1.0
9,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,total guess repetitions,1.0
10,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Aborted,0.0
11,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Lose,1.0
12,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Success,0.0
13,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Request Count,6.0
14,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Parsed Request Count,6.0
15,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Violated Request Count,0.0
16,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Request Success Ratio,1.0
17,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Main Score,0.0
18,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,repeats guess,0.0
19,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,total guess repetitions,0.0
20,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Aborted,0.0
21,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Lose,1.0
22,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Success,0.0
23,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Request Count,6.0
24,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Parsed Request Count,6.0
25,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Violated Request Count,0.0
26,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Request Success Ratio,1.0
27,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Main Score,0.0
28,wordle,llama3.1-sft-e1-_E1_D20002_REV-t0.0--llama3.1-sft-e1-_E1_D20002_REV-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,repeats guess,0.0
